Rnd,Pick,Team,Player,Pos,College/Univ
6,194,GNB,Dexter Williams,RB,Notre Dame
6,195,HOU,Xavier Crawford,CB,Central Michigan
6,196,NYJ,Blessuan Austin,CB,Rutgers
6,197,BAL,Trace McSorley,QB,Penn St.
6,198,SFO,Tim Harris,CB,Virginia
6,199,IND,Gerri Green,DE,Mississippi St.
6,200,LAC,Emeke Egbule,LB,Houston
6,201,KAN,Rashad Fenton,CB,South Carolina
6,202,MIA,Isaiah Prince,T,Ohio St.
6,203,ATL,Marcus Green,WR,La-Monroe
6,204,SEA,Travis Homer,RB,Miami (FL)
6,205,CHI,Duke Shelley,CB,Kansas St.
6,206,WAS,Kelvin Harmon,WR,North Carolina St.
6,207,PIT,Ulysees Gilbert,LB,Akron
6,208,TAM,Scott Miller,WR,Bowling Green
6,209,SEA,Demarcus Christmas,DT,Florida St.
6,210,CIN,Deshaun Davis,LB,Auburn
6,211,CIN,Rodney Anderson,RB,Oklahoma
6,212,CAR,Dennis Daley,T,South Carolina
6,213,DAL,Donovan Wilson,S,Texas A&M
6,214,KAN,Darwin Thompson,RB,Utah St.
7,215,TAM,Terry Beckner,DT,Missouri
7,216,KAN,Nick Allegretti,G,Illinois
7,217,MIN,Kris Boyd,CB,Texas
7,218,DAL,Mike Weber,RB,Ohio St.
7,219,PIT,Derwin Gray,T,Maryland
7,220,HOU,Cullen Gillaspia,RB,Texas A&M
7,221,CLE,Donnie Lewis Jr.,CB,Tulane
7,222,CHI,Kerrith Whyte Jr,RB,Florida Atlantic
7,223,CIN,Jordan Brown,CB,South Dakota St.
7,224,DET,Isaac Nauta,TE,Georgia
7,225,BUF,Darryl Johnson,DE,North Carolina A&T
7,226,GNB,Ty Summers,LB,TCU
7,227,WAS,Jimmy Moreland,CB,James Madison
7,228,BUF,Tommy Sweeney,TE,Boston Col.
7,229,DET,P.J. Johnson,DE,Arizona
7,230,OAK,Quinton Bell,DE,Prairie View A&M
7,231,NOR,Alize Mack,TE,Notre Dame
7,232,NYG,George Asafo-Adjei,T,Kentucky
7,233,MIA,Chandler Cox,RB,Auburn
7,234,MIA,Myles Gaskin,RB,Washington
7,235,JAX,Dontavius Russell,DT,Auburn
7,236,SEA,John Ursua,WR,Hawaii
7,237,CAR,Terry Godwin,WR,Georgia
7,238,CHI,Stephen Denmark,CB,Valdosta St.
7,239,MIN,Dillon Mitchell,WR,Oregon
7,240,IND,Jackson Barton,T,Utah
7,241,DAL,Jalen Jelks,DE,Oregon
7,242,LAC,Cortez Broughton,DT,Cincinnati
7,243,LAR,Nick Scott,S,Penn St.
7,244,NOR,Kaden Elliss,LB,Idaho
7,245,NYG,Chris Slayton,DT,Syracuse
7,246,IND,Javon Patterson,C,Mississippi
7,247,MIN,Olabisi Johnson,WR,Colorado St.
7,248,ARI,Joshua Miles,T,Morgan St.
7,249,ARI,Michael Dogbe,DE,Temple
7,250,MIN,Austin Cutting,LS,Air Force
7,251,LAR,Dakota Allen,LB,Texas Tech
7,252,NWE,Ken Webster,CB,Mississippi
7,253,WAS,Jordan Brailford,DE,Oklahoma St.
7,254,ARI,Caleb Wilson,TE,UCLA
